"date","phosphorus_added","nitrogen_added","month"
2025-10-01,0.00186273256037384,0.256789295747876,"October"
2025-10-02,0.00336491540633142,0.138675735983998,"October"
2025-10-03,0.0022269307654351,0.103553162375465,"October"
2025-10-04,0.00364905221201479,0.181321573257446,"October"
2025-10-05,0.00382140185288154,0.196633533854038,"October"
2025-10-06,0.00113666949816979,0.184368990035728,"October"
2025-10-07,0.00258431646414101,0.168561760336161,"October"
2025-10-08,0.00367725713318214,0.273296662932262,"October"
2025-10-09,0.00265430504339747,0.191021610191092,"October"
2025-10-10,0.00236984420591034,0.20675297472626,"October"
2025-10-11,0.00387050003604963,0.292768666381016,"October"
2025-10-12,0.00236000246857293,0.254918308416381,"October"
2025-10-13,0.0030327119063586,0.141775269713253,"October"
2025-10-14,0.00271790020586923,0.161757366545498,"October"
2025-10-15,0.00130877404799685,0.294268490048125,"October"
2025-10-16,0.00369947491120547,0.216980018699542,"October"
2025-10-17,0.00173826320306398,0.252164725074545,"October"
2025-10-18,0.00112617860059254,0.174541878886521,"October"
2025-10-19,0.0019837621578481,0.253838782245293,"October"
2025-10-20,0.00386351094744168,0.20753543660976,"October"
2025-10-21,0.00366861794819124,0.282799089932814,"October"
2025-10-22,0.0030784102184698,0.137059288378805,"October"
2025-10-23,0.00292152044130489,0.156443683477119,"October"
2025-10-24,0.00398280932987109,0.118992482637987,"October"
2025-10-25,0.00296711739734747,0.142097415821627,"October"
2025-10-26,0.00312559140450321,0.29541979925707,"October"
2025-10-27,0.00263219807413407,0.15926043507643,"October"
2025-10-28,0.00278242606134154,0.245196605380625,"October"
2025-10-29,0.00186747921188362,0.257137566851452,"October"
2025-10-30,0.00144134094193578,0.12108354922384,"October"
2025-10-31,0.00388907269760966,0.14791892580688,"October"
2025-11-01,0.0240229904511943,0.454108974477276,"November"
2025-11-02,0.0219070527842268,0.420211698813364,"November"
2025-11-03,0.0229546741768718,0.423582768253982,"November"
2025-11-04,0.0152461368450895,0.598247311171144,"November"
2025-11-05,0.0197779597109184,0.597210859460756,"November"
2025-11-06,0.0225845953752287,0.427413494279608,"November"
2025-11-07,0.0171640793583356,0.581061916332692,"November"
2025-11-08,0.0181818100763485,0.515260367514566,"November"
2025-11-09,0.0173162578535266,0.479089771816507,"November"
2025-11-10,0.0164280002238229,0.489960496826097,"November"
2025-11-11,0.0191454633581452,0.54130038022995,"November"
2025-11-12,0.0191372432629578,0.416500549158081,"November"
2025-11-13,0.0186884545092471,0.467862516036257,"November"
2025-11-14,0.0165244474774227,0.536157510243356,"November"
2025-11-15,0.0163880606344901,0.463389849616215,"November"
2025-11-16,0.017330340994522,0.566313719609752,"November"
2025-11-17,0.0196596245025285,0.443034416530281,"November"
2025-11-18,0.0176597264036536,0.499589787237346,"November"
2025-11-19,0.0235782771534286,0.455209934525192,"November"
2025-11-20,0.0154583116667345,0.438404663745314,"November"
2025-11-21,0.0194220007420518,0.590124252811074,"November"
2025-11-22,0.0229892484564334,0.464345107553527,"November"
2025-11-23,0.0162189925997518,0.495691276760772,"November"
2025-11-24,0.0206094798375852,0.405598514387384,"November"
2025-11-25,0.0170653138961643,0.509491893602535,"November"
2025-11-26,0.0162753165024333,0.528848044108599,"November"
2025-11-27,0.0225330786430277,0.519252708926797,"November"
2025-11-28,0.023950453591533,0.464387475140393,"November"
2025-11-29,0.0187446277588606,0.578222862491384,"November"
2025-11-30,0.0216511519462802,0.525251389481127,"November"
2025-12-01,0.00128452198277228,0.160580983059481,"December"
2025-12-02,0.00215190891339444,0.17764093275182,"December"
2025-12-03,0.00182315093372017,0.132095018494874,"December"
2025-12-04,0.00344392011663876,0.272510379506275,"December"
2025-12-05,0.00234554902417585,0.290620242757723,"December"
2025-12-06,0.0034301930591464,0.212728936690837,"December"
2025-12-07,0.00343716852855869,0.165909482678399,"December"
2025-12-08,0.00338302696333267,0.299323443742469,"December"
2025-12-09,0.00231949506280944,0.146963935159147,"December"
2025-12-10,0.00326342547591776,0.222534393053502,"December"
2025-12-11,0.00288766339467838,0.121635705884546,"December"
2025-12-12,0.00313054720405489,0.197406513988972,"December"
2025-12-13,0.0010018743199762,0.119889164669439,"December"
2025-12-14,0.00242594972229563,0.132233152538538,"December"
2025-12-15,0.00166035665548407,0.156598574155942,"December"
2025-12-16,0.00213944961316884,0.21677446719259,"December"
2025-12-17,0.00283831300982274,0.246341531770304,"December"
2025-12-18,0.0020553937277291,0.133104182220995,"December"
2025-12-19,0.00133340627304278,0.273293552640825,"December"
2025-12-20,0.00173085841815919,0.241714827436954,"December"
2025-12-21,0.00300416676234454,0.252079907245934,"December"
2025-12-22,0.00225294033903629,0.129416821710765,"December"
2025-12-23,0.0033645875020884,0.171611392684281,"December"
2025-12-24,0.00130859393277206,0.234666496282443,"December"
2025-12-25,0.00230467822449282,0.204764520330355,"December"
2025-12-26,0.00395487093995325,0.169960358552635,"December"
2025-12-27,0.00367915334319696,0.148106140317395,"December"
2025-12-28,0.00365940718236379,0.111638359259814,"December"
2025-12-29,0.00152515795081854,0.14732394842431,"December"
2025-12-30,0.00139208707469515,0.278015582635999,"December"
2025-12-31,0.00295930577511899,0.262365483213216,"December"
2026-01-01,0.0020305494167842,0.249503264436498,"January"
2026-01-02,0.00297027438390069,0.130982345156372,"January"
2026-01-03,0.00196111972746439,0.124948417721316,"January"
2026-01-04,0.00156307335780002,0.294945161696523,"January"
2026-01-05,0.00334688290394843,0.18722599921748,"January"
2026-01-06,0.00128078496013768,0.192803325364366,"January"
2026-01-07,0.00240033712470904,0.133059616247192,"January"
2026-01-08,0.00253451637970284,0.216987311467528,"January"
2026-01-09,0.00279996687779203,0.154155603889376,"January"
2026-01-10,0.00199847062095068,0.146019384078681,"January"
2026-01-11,0.00246583910100162,0.23824156629853,"January"
2026-01-12,0.00386342148249969,0.156570479925722,"January"
2026-01-13,0.0024487071915064,0.26207961323671,"January"
2026-01-14,0.00367105066636577,0.118783321417868,"January"
2026-01-15,0.0037433145607356,0.264406014233828,"January"
2026-01-16,0.00282620494696312,0.185485656140372,"January"
2026-01-17,0.00223206932959147,0.251177451945841,"January"
2026-01-18,0.00144128407281823,0.232477101311088,"January"
2026-01-19,0.00380589940981008,0.188905479386449,"January"
2026-01-20,0.00190368669992313,0.225429236888885,"January"
2026-01-21,0.00118216171464883,0.100093069812283,"January"
2026-01-22,0.00384318082011305,0.143448702804744,"January"
2026-01-23,0.00316178882028908,0.2409744491335,"January"
2026-01-24,0.00142688288679346,0.14303329763934,"January"
2026-01-25,0.00264785396819934,0.262786744255573,"January"
2026-01-26,0.00386227371566929,0.161552774859592,"January"
2026-01-27,0.00275645005935803,0.237548537133262,"January"
2026-01-28,0.00221353084524162,0.286536215804517,"January"
